humidity,temperature,RSSI,tctl
65.0,88.2,-52.25,1
82.5,79.2,-51.03389830508475,1
65.5,80.7,-60.38095238095238,1
37.0,102.0,-56.666666666666664,1
37.0,102.0,-56.666666666666664,1
61.0,80.4,-61.16949152542373,1
52.0,87.5,-60.01724137931034,1
72.0,78.4,-52.21311475409836,1
80.0,78.6,-52.721311475409834,1
76.0,76.1,-63.05263157894737,1
50.0,81.9,-51.771929824561404,1
62.0,75.5,-59.56140350877193,1
65.0,74.2,-60.11864406779661,1
50.0,83.5,-58.898305084745765,1
59.0,72.9,-53.49152542372882,1
60.0,73.0,-60.40677966101695,1
63.0,71.2,-54.13559322033898,1
62.0,69.0,-60.50847457627118,1
53.0,92.9,-56.51724137931034,1
50.0,81.5,-53.75409836065574,1
66.0,76.8,-52.39655172413793,1
67.0,88.6,-58.716981132075475,1
88.5,79.3,-51.71186440677966,1
64.0,81.0,-49.578947368421055,1
32.0,105.5,-60.84615384615385,1
32.0,105.5,-56.10526315789474,1
61.5,80.0,-51.57377049180328,1
49.5,92.1,-60.47457627118644,1
72.0,78.6,-52.90163934426229,1
81.0,78.6,-59.032786885245905,1
77.5,76.1,-63.05263157894737,1
50.0,82.0,-54.886792452830186,1
63.0,75.0,-59.56140350877193,1
66.0,73.9,-54.73684210526316,1
51.0,82.6,-55.758620689655174,1
59.0,73.0,-54.54237288135593,1
63.0,71.4,-59.38333333333333,1
62.0,68.7,-53.233333333333334,1
46.5,98.0,-54.19298245614035,1
47.0,82.8,-53.75409836065574,1
65.0,77.0,-52.39655172413793,1
79.0,89.2,-56.285714285714285,1
93.0,79.7,-63.224137931034484,1
64.5,81.5,-58.96610169491525,1
29.0,108.0,-59.52542372881356,1
29.0,108.0,-62.540983606557376,1
62.0,80.0,-56.6,1
42.5,97.7,-57.35087719298246,1
71.0,78.9,-59.583333333333336,1
82.0,78.6,-58.442622950819676,1
79.0,75.0,-62.85245901639344,1
50.0,82.5,-55.280701754385966,1
63.0,74.5,-55.29824561403509,1
67.0,73.5,-57.310344827586206,1
51.0,81.9,-58.68333333333333,1
59.0,73.0,-57.983333333333334,1
63.0,72.9,-58.666666666666664,1
63.0,71.6,-64.10169491525424,1
64.0,67.2,-54.0,1
39.0,101.3,-60.13333333333333,1
42.0,84.6,-63.11864406779661,1
66.0,77.2,-52.39655172413793,1
85.5,86.6,-57.1578947368421,1
94.0,79.5,-54.36206896551724,1
61.0,82.0,-56.583333333333336,1
26.0,111.0,-57.833333333333336,1
26.0,111.0,-60.535714285714285,1
61.0,80.2,-56.0655737704918,1
41.0,96.2,-62.68852459016394,1
71.0,78.0,-64.37931034482759,1
83.0,78.4,-62.22950819672131,1
79.0,75.0,-56.49152542372882,1
49.0,82.6,-58.05,1
65.0,74.5,-56.035714285714285,1
68.0,73.1,-62.83018867924528,1
52.0,84.2,-59.32786885245902,1
60.0,73.2,-53.145161290322584,1
63.0,71.8,-61.85964912280702,1
63.0,72.0,-61.63333333333333,1
64.0,67.2,-56.36666666666667,1
32.0,109.0,-54.38333333333333,1
42.0,84.7,-52.583333333333336,1
65.0,77.4,-61.88135593220339,1
87.5,86.4,-59.13559322033898,0
91.0,79.5,-56.05172413793103,0
60.0,82.2,-52.69090909090909,0
23.5,115.3,-57.73076923076923,0
23.5,115.3,-59.38461538461539,0
62.0,79.0,-57.96610169491525,0
43.0,94.5,-60.03333333333333,0
71.0,79.0,-60.88333333333333,0
84.0,78.3,-62.22950819672131,0
80.0,75.0,-63.689655172413794,0
47.0,82.0,-60.08771929824562,0
65.0,74.3,-54.186440677966104,0
69.0,72.5,-58.48148148148148,0
55.0,79.2,-55.266666666666666,0
60.0,73.2,-55.52459016393443,0
64.0,72.6,-60.660714285714285,0
62.0,72.3,-58.516666666666666,0
28.0,110.8,-52.36666666666667,0
41.0,85.1,-54.622950819672134,0
65.0,77.4,-60.03389830508475,0
89.0,86.4,-58.0,0
84.5,79.5,-58.30769230769231,0
59.0,81.9,-55.983050847457626,0
21.5,115.9,-64.57142857142857,0
21.5,115.9,-55.56140350877193,0
62.0,79.9,-65.51785714285714,0
45.0,92.5,-67.20338983050847,0
71.0,79.2,-59.52542372881356,0
84.0,78.1,-68.78688524590164,0
81.0,74.0,-69.26666666666667,0
48.0,81.0,-61.26315789473684,0
64.0,74.1,-63.392857142857146,0
71.0,72.0,-65.26229508196721,0
56.0,77.9,-59.14754098360656,0
59.0,73.6,-53.05,0
64.0,71.4,-60.0,0
63.0,72.3,-57.77049180327869,0
65.0,66.6,-57.540983606557376,0
27.0,113.7,-54.278688524590166,0
37.0,86.2,-53.30508474576271,0
64.0,77.4,-57.224137931034484,0
89.0,86.4,-63.38333333333333,0
84.0,79.5,-63.610169491525426,0
59.0,82.0,-63.36666666666667,0
20.0,117.2,-60.810344827586206,0
20.0,117.2,-62.0,0
62.0,79.9,-68.54237288135593,0
49.0,90.3,-64.75862068965517,0
72.0,79.3,-59.898305084745765,0
84.0,78.1,-64.75409836065573,0
81.0,74.0,-64.06896551724138,0
50.0,81.3,-65.56140350877193,0
66.0,73.9,-67.68852459016394,0
72.0,72.0,-64.375,0
58.0,76.5,-61.71666666666667,0
59.0,73.8,-58.758620689655174,0
65.0,71.2,-61.421052631578945,0
62.0,72.3,-58.10344827586207,0
66.0,66.2,-62.01724137931034,0
24.0,114.6,-54.278688524590166,0
38.0,86.4,-54.03448275862069,0
62.0,77.0,-62.355932203389834,0
